==============================================================================================================
  MAC Delay Percentile Statistics
  dataRate=1Mbps  runs=10 (averaged)
  Generated: 2026-04-28 22:33:34
==============================================================================================================

        nSta       ratio         P50         P95         P99       P99.9
          39         40%      2587.5     11927.5     19812.5     28092.5
          39         60%      2642.5     12182.5     20447.5     28637.5
          39         80%      2572.5     11032.5     19777.5     27997.5
          39        100%      2662.5     12397.5     21517.5     31737.5

          40          0%      2657.5     13752.5     21307.5     28877.5
          40         20%      2652.5     13017.5     20402.5     27522.5
          40         40%      2422.5     11057.5     19112.5     26912.5
          40         60%      2517.5     11507.5     20057.5     28542.5
          40         80%      2482.5     10742.5     19457.5     28132.5
          40        100%      2432.5      9097.5     18372.5     27017.5

          41          0%      2492.5     12707.5     20232.5     28262.5
          41         20%      2682.5     13562.5     21412.5     29102.5
          41         40%      2577.5     12347.5     20132.5     27397.5
          41         60%      2602.5     11887.5     19977.5     28027.5
          41         80%      2542.5     11547.5     20767.5     30167.5
          41        100%      2507.5      9527.5     18677.5     27387.5

          42          0%      2587.5     12957.5     20502.5     28432.5
          42         20%      2562.5     12222.5     19732.5     27447.5
          42         40%      2622.5     11867.5     19517.5     27362.5
          42         60%      2647.5     11922.5     20027.5     27742.5
          42         80%      2572.5     11087.5     19647.5     27957.5
          42        100%      2447.5      8932.5     18052.5     27002.5

          43          0%      2667.5     13282.5     20812.5     28527.5
          43         20%      2687.5     12777.5     20462.5     28417.5
          43         40%      2712.5     12687.5     20642.5     28697.5
          43         60%      2667.5     12077.5     20137.5     28317.5
          43         80%      2567.5     10942.5     19882.5     29322.5
          43        100%      2502.5     10182.5     19547.5     28377.5

          44          0%      2837.5     14427.5     21662.5     29187.5
          44         20%      2732.5     13237.5     20592.5     27972.5
          44         40%      2627.5     12412.5     20292.5     28222.5
          44         60%      2622.5     11782.5     20312.5     28752.5
          44         80%      2677.5     12127.5     20647.5     29222.5
          44        100%      2667.5     11742.5     21087.5     30427.5

          45          0%      2842.5     14447.5     21847.5     29362.5
          45         20%      2757.5     13772.5     21362.5     29287.5
          45         40%      2762.5     13237.5     21277.5     28782.5
          45         60%      2702.5     12552.5     20912.5     29007.5
          45         80%      2557.5     10837.5     19337.5     27322.5
          45        100%      2427.5      8402.5     17337.5     25972.5

          46          0%      2847.5     14022.5     21327.5     28802.5
          46         20%      2792.5     13282.5     20782.5     27967.5
          46         40%      2752.5     13232.5     21082.5     29697.5
          46         60%      2897.5     13702.5     21837.5     30052.5
          46         80%      2717.5     12162.5     20517.5     28607.5
          46        100%      2557.5      9732.5     18882.5     28097.5

          47          0%      2652.5     13787.5     21432.5     29107.5
          47         20%      2652.5     13497.5     21307.5     29002.5
          47         40%      2642.5     13412.5     21637.5     29697.5
          47         60%      2577.5     12342.5     20797.5     29412.5
          47         80%      2497.5     10672.5     19297.5     27362.5
          47        100%      2402.5      9172.5     18647.5     27402.5

          48          0%      2732.5     13482.5     21017.5     28712.5
          48         20%      2832.5     14177.5     21827.5     29712.5
          48         40%      2572.5     11677.5     19277.5     26692.5
          48         60%      2742.5     13197.5     21402.5     29737.5
          48         80%      2452.5      9027.5     17472.5     25797.5
          48        100%      2552.5     10072.5     19272.5     28232.5

          49          0%      2532.5     12557.5     19787.5     27297.5
          49         20%      2922.5     14387.5     21827.5     29202.5
          49         40%      2642.5     12882.5     20837.5     28907.5
          49         60%      2602.5     11402.5     20132.5     28567.5
          49         80%      2697.5     12642.5     21602.5     30657.5
          49        100%      2652.5     11782.5     20792.5     29407.5

          50          0%      2752.5     12867.5     19967.5     27437.5
          50         20%      2907.5     13997.5     21427.5     29252.5
          50         40%      2817.5     13607.5     21317.5     29342.5
          50         60%      2722.5     12137.5     20362.5     28677.5
          50         80%      2582.5     10187.5     18742.5     27097.5
          50        100%      2707.5     11712.5     20767.5     30002.5

