nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,E2E_Delay_us,AirDelay_us
22,0.5Mbps,BK,0.00315,99.97284,0.00000,394428.60000,161.60000
22,0.5Mbps,VI,1.24912,25.69084,1.08820,69370.88000,202.00000
22,0.5Mbps,VO,4.39555,62.12818,4.15176,12133.28200,202.00000
24,0.5Mbps,BE,0.00445,97.28050,0.11100,325031.40000,106.77396
24,0.5Mbps,BK,0.00293,99.97688,0.00000,395955.60000,161.60000
24,0.5Mbps,VI,1.37741,38.06046,1.21620,48968.90000,202.00000
24,0.5Mbps,VO,4.68048,63.03100,3.73627,10824.50600,202.00000
26,0.5Mbps,BE,0.00830,97.35318,0.08940,454344.80000,101.84260
26,0.5Mbps,BK,0.00045,99.99672,0.00000,196010.20000,80.80000
26,0.5Mbps,VI,1.23112,37.23020,1.05949,72056.54000,202.00000
26,0.5Mbps,VO,4.33569,68.38862,4.15104,13468.28000,202.00000
28,0.5Mbps,BE,0.00699,97.85774,0.07895,312719.20000,91.86786
28,0.5Mbps,BK,0.00293,99.98020,0.01538,490416.60000,202.00000
28,0.5Mbps,VI,1.36818,45.37634,1.12939,60726.18000,202.00000
28,0.5Mbps,VO,4.52767,69.34834,3.82048,13387.81000,202.00000
30,0.5Mbps,BE,0.00341,98.21646,0.05219,388668.20000,84.16380
30,0.5Mbps,BK,0.00203,99.98722,0.00000,390029.60000,161.60000
30,0.5Mbps,VI,1.15369,48.30092,1.02268,70178.00000,202.00000
30,0.5Mbps,VO,4.59969,70.93608,3.82884,15079.74000,202.00000
32,0.5Mbps,BE,0.00648,97.62794,0.09678,361550.00000,92.92856
32,0.5Mbps,BK,0.00270,99.98398,0.00000,392314.20000,161.60000
32,0.5Mbps,VI,1.36570,54.14452,1.14932,58058.14000,202.00000
32,0.5Mbps,VO,4.64470,72.48642,3.66475,13930.72000,202.00000
34,0.5Mbps,BE,0.00548,99.16550,0.07600,569155.40000,96.28140
34,0.5Mbps,BK,0.00180,99.98996,0.00000,392744.40000,161.60000
34,0.5Mbps,VI,1.06884,51.67602,0.95200,77300.90000,202.00000
34,0.5Mbps,VO,4.24003,76.35832,4.12597,15870.36000,202.00000
36,0.5Mbps,BE,0.00709,97.61284,0.09065,431510.40000,109.58226
36,0.5Mbps,BK,0.00248,99.98694,0.00000,295361.80000,121.20000
36,0.5Mbps,VI,1.34342,59.35434,1.11493,64671.08000,202.00000
36,0.5Mbps,VO,4.58281,75.86662,3.69796,14559.32000,202.00000
38,0.5Mbps,BE,0.00690,97.84302,0.08575,427619.20000,107.97100
38,0.5Mbps,BK,0.00113,99.99440,0.00000,292812.80000,121.20000
38,0.5Mbps,VI,1.34792,62.03468,1.14374,56891.50000,202.00000
38,0.5Mbps,VO,4.61387,76.98408,3.60618,14640.52000,202.00000
40,0.5Mbps,BE,0.00453,99.07304,0.10828,511630.40000,82.25698
40,0.5Mbps,BK,0.00203,99.99040,0.00000,472999.00000,202.00000
40,0.5Mbps,VI,1.15932,61.55486,1.04649,69068.40000,202.00000
40,0.5Mbps,VO,4.41221,79.08946,3.88709,16087.44000,202.00000
