VO_Ratio,nSta,Scenario,Avg_Delay_us,Avg_Throughput_Mbps,Avg_Loss_Percent,Avg_Retx_Ratio
0.05,18,pedca_scenario,1878.9720,0.1000,0.8050,0.7430
0.05,20,pedca_scenario,3041.5610,0.1000,1.6030,1.1340
0.05,22,pedca_scenario,3875.1530,0.0960,4.0810,1.4400
0.05,24,pedca_scenario,4485.8090,0.0910,7.6500,1.5590
0.05,24,edca_scenario,4321.7710,0.0910,9.6870,1.7830
0.05,26,edca_scenario,4261.2530,0.0870,11.9410,1.7120
0.05,26,pedca_scenario,4733.5760,0.0930,8.5310,1.6990
0.05,28,edca_scenario,5316.5150,0.0810,19.5380,2.1180
0.05,28,pedca_scenario,5658.7940,0.0830,17.5080,1.9610
0.05,30,edca_scenario,5793.2980,0.0750,24.5070,2.2760
0.05,32,edca_scenario,6371.5760,0.0640,33.0040,2.4250
0.05,34,pedca_scenario,6370.3220,0.0700,30.1760,2.0960
0.05,36,edca_scenario,6129.7300,0.0670,31.2750,2.2730
0.01,2,pedca_scenario,280.9890,0.0200,0.0000,0.0040
0.01,2,edca_scenario,281.2650,0.0200,0.0000,0.0040
0.05,38,edca_scenario,6631.7800,0.0650,33.3420,2.3700
0.01,4,pedca_scenario,257.5320,0.0200,0.0000,0.0130
0.01,4,edca_scenario,255.1190,0.0200,0.0000,0.0040
0.01,6,edca_scenario,308.0540,0.0200,0.0000,0.0220
0.01,6,pedca_scenario,308.0540,0.0200,0.0000,0.0220
0.01,8,pedca_scenario,273.4240,0.0200,0.0000,0.0130
0.01,8,edca_scenario,276.2220,0.0200,0.0000,0.0090
0.01,10,edca_scenario,386.0750,0.0200,0.0000,0.0260
0.01,10,pedca_scenario,390.0710,0.0200,0.0000,0.0400
0.01,12,pedca_scenario,571.6090,0.0200,0.0000,0.2830
0.01,12,edca_scenario,583.7090,0.0200,0.0000,0.2840
0.01,14,edca_scenario,663.8850,0.0200,0.0000,0.2880
0.01,14,pedca_scenario,666.1720,0.0200,0.0000,0.3410
0.01,16,edca_scenario,814.5120,0.0200,0.0000,0.4310
0.01,16,pedca_scenario,1018.7920,0.0200,0.0000,0.5320
0.01,18,pedca_scenario,3076.9230,0.0200,1.8000,1.1450
0.01,18,edca_scenario,2573.2460,0.0200,1.3450,1.1800
0.01,20,pedca_scenario,3827.0830,0.0200,4.0740,1.3230
0.01,20,edca_scenario,3288.9350,0.0200,2.6900,1.3820
0.01,22,edca_scenario,3702.4100,0.0200,10.9300,1.5270
0.01,22,pedca_scenario,4135.4170,0.0200,4.8040,1.3980
0.01,24,pedca_scenario,4881.5590,0.0200,6.3060,1.7310
0.01,26,pedca_scenario,4522.7270,0.0190,12.2740,1.5640
0.01,26,edca_scenario,5340.3330,0.0190,15.5350,2.0730
0.01,28,pedca_scenario,5732.1480,0.0170,19.3090,1.9400
0.01,30,edca_scenario,5663.8230,0.0150,27.9250,2.2320
0.01,30,pedca_scenario,6821.5190,0.0180,22.5690,2.2830
0.01,34,edca_scenario,6138.0860,0.0130,35.3990,2.2700
0.01,36,pedca_scenario,6244.2240,0.0150,28.3610,1.8630
0.01,38,pedca_scenario,7671.0540,0.0160,30.3170,2.4410
0.01,40,pedca_scenario,6988.8280,0.0140,34.4470,2.0700
