CWds,QSRC,PSRC,nPedca,delay_type,P50_us,P95_us,P99_us
1,1,2,15,legacy,2772.50,17702.50,25162.50
1,1,3,15,legacy,2967.50,18097.50,25472.50
1,2,1,15,legacy,2787.50,17752.50,25527.50
1,2,2,15,legacy,2967.50,18232.50,25622.50
1,2,3,15,legacy,2982.50,18382.50,25877.50
1,3,1,15,legacy,2722.50,17532.50,25007.50
1,3,2,15,legacy,2802.50,17737.50,25302.50
1,3,3,15,legacy,2732.50,17747.50,25062.50
1,4,1,15,legacy,2612.50,17252.50,24807.50
1,4,2,15,legacy,2657.50,17417.50,25062.50
1,4,3,15,legacy,2687.50,17657.50,25352.50
1,5,1,15,legacy,2497.50,16877.50,24467.50
1,5,2,15,legacy,2682.50,17742.50,25482.50
1,5,3,15,legacy,2632.50,17587.50,25192.50
0,0,1,5,pedca,1122.50,10812.50,19607.50
0,0,2,5,pedca,857.50,4317.50,13592.50
0,0,3,5,pedca,802.50,3487.50,5717.50
0,1,1,5,pedca,1467.50,9972.50,19632.50
0,1,2,5,pedca,1327.50,5467.50,16757.50
0,1,3,5,pedca,1252.50,4832.50,12382.50
0,2,1,5,pedca,1812.50,10117.50,19907.50
0,2,2,5,pedca,1612.50,8937.50,17062.50
0,2,3,5,pedca,1557.50,8337.50,15092.50
0,3,1,5,pedca,2082.50,11552.50,19497.50
0,3,2,5,pedca,2022.50,11317.50,18392.50
0,3,3,5,pedca,1997.50,11107.50,17912.50
0,4,1,5,pedca,2222.50,12962.50,19487.50
0,4,2,5,pedca,2107.50,12947.50,19407.50
0,4,3,5,pedca,2122.50,12862.50,19467.50
0,5,1,5,pedca,2377.50,15142.50,22392.50
0,5,2,5,pedca,2287.50,14772.50,22037.50
0,5,3,5,pedca,2322.50,15107.50,22427.50
1,0,1,5,pedca,1122.50,10812.50,19607.50
1,0,2,5,pedca,842.50,4252.50,12497.50
1,0,3,5,pedca,812.50,3542.50,5777.50
1,1,1,5,pedca,1462.50,9227.50,19317.50
1,1,2,5,pedca,1342.50,5507.50,15512.50
1,1,3,5,pedca,1267.50,4747.50,11082.50
1,2,1,5,pedca,1802.50,9952.50,19847.50
1,2,2,5,pedca,1677.50,8882.50,17017.50
1,2,3,5,pedca,1682.50,8682.50,15927.50
1,3,1,5,pedca,2047.50,11482.50,19287.50
1,3,2,5,pedca,2017.50,11047.50,17182.50
1,3,3,5,pedca,1922.50,10882.50,17002.50
1,4,1,5,pedca,2267.50,13287.50,20062.50
1,4,2,5,pedca,2107.50,12752.50,19232.50
1,4,3,5,pedca,2087.50,12667.50,19062.50
1,5,1,5,pedca,2352.50,14972.50,22132.50
1,5,2,5,pedca,2382.50,15237.50,22407.50
1,5,3,5,pedca,2362.50,15362.50,22722.50
0,0,1,15,pedca,1277.50,13502.50,21972.50
0,0,2,15,pedca,882.50,7647.50,18767.50
0,0,3,15,pedca,792.50,4757.50,16842.50
0,1,1,15,pedca,1592.50,14287.50,24377.50
0,1,2,15,pedca,1287.50,10547.50,23267.50
0,1,3,15,pedca,1212.50,9342.50,25402.50
0,2,1,15,pedca,2032.50,13677.50,24752.50
0,2,2,15,pedca,1662.50,11222.50,25082.50
0,2,3,15,pedca,1547.50,10637.50,24782.50
0,3,1,15,pedca,2327.50,13657.50,23837.50
0,3,2,15,pedca,2077.50,12922.50,24397.50
0,3,3,15,pedca,2017.50,13322.50,26842.50
0,4,1,15,pedca,2277.50,13997.50,22332.50
0,4,2,15,pedca,2392.50,14907.50,24547.50
0,4,3,15,pedca,2347.50,15177.50,26192.50
0,5,1,15,pedca,2582.50,15997.50,23957.50
0,5,2,15,pedca,2632.50,17192.50,26377.50
0,5,3,15,pedca,2522.50,16842.50,26547.50
1,0,1,15,pedca,1277.50,13502.50,21972.50
1,0,2,15,pedca,872.50,7002.50,17702.50
1,0,3,15,pedca,792.50,4732.50,17137.50
1,1,1,15,pedca,1632.50,14097.50,23982.50
1,1,2,15,pedca,1307.50,10087.50,23247.50
1,1,3,15,pedca,1232.50,7647.50,23047.50
1,2,1,15,pedca,2027.50,13192.50,24892.50
1,2,2,15,pedca,1722.50,11222.50,24907.50
1,2,3,15,pedca,1617.50,10802.50,25852.50
1,3,1,15,pedca,2347.50,13447.50,24247.50
1,3,2,15,pedca,2087.50,12712.50,23937.50
1,3,3,15,pedca,2022.50,12632.50,24847.50
1,4,1,15,pedca,2512.50,14717.50,23252.50
1,4,2,15,pedca,2357.50,14612.50,24202.50
1,4,3,15,pedca,2352.50,15012.50,25432.50
1,5,1,15,pedca,2532.50,15762.50,23332.50
1,5,2,15,pedca,2662.50,16952.50,26007.50
1,5,3,15,pedca,2562.50,16777.50,26117.50
0,0,1,30,pedca,1582.50,15877.50,23647.50
0,0,2,30,pedca,1002.50,13072.50,21642.50
0,0,3,30,pedca,867.50,11952.50,22067.50
0,1,1,30,pedca,1757.50,16242.50,25747.50
0,1,2,30,pedca,1237.50,14422.50,27422.50
0,1,3,30,pedca,1147.50,14117.50,31852.50
0,2,1,30,pedca,2197.50,16102.50,27657.50
0,2,2,30,pedca,1837.50,16727.50,33347.50
0,2,3,30,pedca,1632.50,17782.50,38917.50
0,3,1,30,pedca,2567.50,16122.50,28092.50
0,3,2,30,pedca,2267.50,16292.50,32902.50
0,3,3,30,pedca,2142.50,17447.50,37427.50
0,4,1,30,pedca,2662.50,16077.50,26837.50
0,4,2,30,pedca,2807.50,18357.50,33607.50
0,4,3,30,pedca,2547.50,18437.50,35772.50
0,5,1,30,pedca,2687.50,17132.50,26447.50
0,5,2,30,pedca,2827.50,18772.50,31037.50
0,5,3,30,pedca,2877.50,19947.50,34442.50
1,0,1,30,pedca,1582.50,15877.50,23647.50
1,0,2,30,pedca,1002.50,12852.50,21427.50
1,0,3,30,pedca,877.50,11872.50,22172.50
1,1,1,30,pedca,1837.50,16777.50,26587.50
1,1,2,30,pedca,1347.50,14972.50,27937.50
1,1,3,30,pedca,1247.50,14887.50,31832.50
1,2,1,30,pedca,2187.50,15992.50,27177.50
1,2,2,30,pedca,1792.50,15747.50,32362.50
1,2,3,30,pedca,1652.50,17482.50,38812.50
1,3,1,30,pedca,2632.50,16387.50,28852.50
1,3,2,30,pedca,2282.50,16082.50,32517.50
1,3,3,30,pedca,2182.50,17697.50,37872.50
1,4,1,30,pedca,2757.50,16297.50,27072.50
1,4,2,30,pedca,2782.50,17937.50,33117.50
1,4,3,30,pedca,2682.50,19067.50,36807.50
1,5,1,30,pedca,2917.50,17832.50,27052.50
1,5,2,30,pedca,2972.50,19217.50,31307.50
1,5,3,30,pedca,2992.50,20537.50,35317.50
