nSta,DataRate,AC,MAC_Throughput_Mbps,Loss_Pct,Retransmissions,MAC_Access_Delay_us,Queue_Delay_us,Access_Delay_us
16,0.1Mbps,VO,1.60000,0.00000,0.02105,248.93389,28.88969,220.04422
18,0.1Mbps,BE,1.80148,0.00000,0.02067,308.58733,79.24457,229.34256
18,0.1Mbps,BK,1.79941,0.00000,0.02679,361.56389,113.77801,247.78600
18,0.1Mbps,VI,1.79753,0.00000,0.02638,291.87556,64.66076,227.21500
18,0.1Mbps,VO,1.80079,0.00000,0.02077,277.27867,57.43752,219.84111
20,0.1Mbps,BE,1.99921,0.00000,0.02064,321.05922,92.52698,228.53233
20,0.1Mbps,BK,1.99951,0.00000,0.00607,330.16856,112.91866,217.24978
20,0.1Mbps,VI,2.00000,0.00000,0.03814,302.56267,69.96278,232.59978
20,0.1Mbps,VO,1.99911,0.00000,0.01705,266.09956,46.64350,219.45633
22,0.1Mbps,BE,2.19960,0.00000,0.02605,351.90511,117.89876,234.00656
22,0.1Mbps,BK,2.19901,0.00000,0.03547,369.78078,123.94288,245.83811
22,0.1Mbps,VI,2.19931,0.00000,0.02889,300.09589,73.16317,226.93278
22,0.1Mbps,VO,2.19881,0.00000,0.02410,279.59156,57.46384,222.12767
24,0.1Mbps,BE,2.39921,0.00000,0.01857,342.47811,115.82211,226.65600
24,0.1Mbps,BK,2.39881,0.00000,0.01910,431.80322,202.09063,229.71256
24,0.1Mbps,VI,2.39921,0.00000,0.03237,318.91222,88.19860,230.71344
24,0.1Mbps,VO,2.39792,0.00000,0.03856,293.26056,63.60954,229.65111
26,0.1Mbps,BE,2.60000,0.00000,0.02158,340.63422,80.41903,413.72467
26,0.1Mbps,BK,2.59862,0.00000,0.03916,455.47711,211.53111,243.94622
26,0.1Mbps,VI,2.59951,0.00000,0.02759,303.58344,73.77730,229.80633
26,0.1Mbps,VO,2.60020,0.00000,0.03817,301.08256,71.79739,229.28500
28,0.1Mbps,BE,2.79980,0.00000,0.03566,366.52478,77.67476,638.52556
28,0.1Mbps,BK,2.79743,0.00000,0.03125,477.34633,228.29300,249.05311
28,0.1Mbps,VI,2.79723,0.00000,0.03714,331.61844,96.05883,235.55944
28,0.1Mbps,VO,2.79872,0.00000,0.04442,302.40222,71.26008,231.14222
30,0.1Mbps,BE,2.99793,0.00000,0.03673,412.47000,18.62256,1256.94256
30,0.1Mbps,BK,2.99348,0.00000,0.03309,485.68256,233.15700,252.52556
30,0.1Mbps,VI,2.99634,0.00000,0.03093,320.42456,90.06366,230.36089
30,0.1Mbps,VO,2.99447,0.00000,0.05142,312.26700,75.29317,236.97378
32,0.1Mbps,BE,3.19970,0.00000,0.03864,441.17822,33.52400,1291.15433
32,0.1Mbps,BK,3.19486,0.00000,0.03598,510.88067,255.06211,255.81856
32,0.1Mbps,VI,3.19556,0.00000,0.06104,368.79056,112.84488,255.94578
32,0.1Mbps,VO,3.19417,0.00000,0.06576,342.86222,99.68403,243.17811
34,0.1Mbps,BE,3.39950,0.00000,0.06752,538.28578,17.83211,1537.62889
34,0.1Mbps,BK,3.39477,0.00000,0.06193,648.13122,343.93000,304.20078
34,0.1Mbps,VI,3.39279,0.00000,0.09141,428.63011,147.73760,280.89222
34,0.1Mbps,VO,3.39210,0.00000,0.06354,331.89678,87.86716,244.02956
36,0.1Mbps,BE,3.59773,0.00000,0.06270,505.49878,0.00000,2255.78633
36,0.1Mbps,BK,3.58765,0.00000,0.05437,692.66378,396.37389,296.29022
36,0.1Mbps,VI,3.58746,0.00000,0.06104,384.36511,130.93340,253.43156
36,0.1Mbps,VO,3.58548,0.00828,0.07571,359.60044,105.14740,254.45311
38,0.1Mbps,BE,3.79891,0.00000,0.05873,530.05644,0.00000,3160.26000
38,0.1Mbps,BK,3.77778,0.00000,0.07524,748.56400,410.69544,337.86900
38,0.1Mbps,VI,3.78044,0.00000,0.08310,419.75722,144.52154,275.23567
38,0.1Mbps,VO,3.78034,0.00784,0.08908,375.66656,117.00361,258.66300
40,0.1Mbps,BE,3.99506,0.00000,0.08908,663.78322,0.00000,3056.96556
40,0.1Mbps,BK,3.97600,0.00000,0.08151,936.06011,549.84211,386.21800
40,0.1Mbps,VI,3.97620,0.00000,0.10525,470.24056,166.93767,303.30300
40,0.1Mbps,VO,3.97699,0.00249,0.10569,388.69567,117.46784,271.22789
