nohup: ignoring input

╔══════════════════════════════════════════════════════════╗
║  P-EDCA Ratio Sweep (Parallel, Multi-Run Averaging)    ║
║  nSta = [2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46, 48, 50]
║  ratios = [0.0, 0.2, 0.4, 0.6, 0.8, 1.0]
║  dataRate = 1Mbps    simTime = 10.0s
║  runs = 10    workers = 16
║  binary = scratch/pedca_verification_nsta.cc
╚══════════════════════════════════════════════════════════╝

  Launching 25 nSta × 6 ratios × 10 runs = 1500 simulations
  (16 concurrent simulations)

  ✔ nSta=18  ratio=0%  10/10 runs OK  elapsed=825.5s
  ✔ nSta=18  ratio=20%  10/10 runs OK  elapsed=696.2s
  ✔ nSta=18  ratio=40%  10/10 runs OK  elapsed=834.0s
  ✔ nSta=18  ratio=60%  10/10 runs OK  elapsed=762.9s
  ✔ nSta=18  ratio=80%  10/10 runs OK  elapsed=812.8s
  ✔ nSta=18  ratio=100%  10/10 runs OK  elapsed=731.3s
  ✔ nSta=20  ratio=0%  10/10 runs OK  elapsed=888.4s
  ✔ nSta=20  ratio=20%  10/10 runs OK  elapsed=899.5s
  ✔ nSta=20  ratio=40%  10/10 runs OK  elapsed=845.0s
  ✔ nSta=20  ratio=60%  10/10 runs OK  elapsed=947.8s
  ✔ nSta=20  ratio=80%  10/10 runs OK  elapsed=880.1s
  ✔ nSta=20  ratio=100%  10/10 runs OK  elapsed=855.9s
  ✔ nSta=22  ratio=0%  10/10 runs OK  elapsed=1011.9s
  ✔ nSta=22  ratio=20%  10/10 runs OK  elapsed=955.0s
  ✔ nSta=22  ratio=40%  10/10 runs OK  elapsed=848.4s
  ✔ nSta=22  ratio=60%  10/10 runs OK  elapsed=1018.1s
  ✔ nSta=22  ratio=80%  10/10 runs OK  elapsed=1041.9s
  ✔ nSta=22  ratio=100%  10/10 runs OK  elapsed=961.3s
  ✔ nSta=24  ratio=0%  10/10 runs OK  elapsed=1055.7s
  ✔ nSta=24  ratio=20%  10/10 runs OK  elapsed=952.9s
  ✔ nSta=24  ratio=40%  10/10 runs OK  elapsed=1124.9s
  ✔ nSta=24  ratio=60%  10/10 runs OK  elapsed=1039.0s
  ✔ nSta=24  ratio=80%  10/10 runs OK  elapsed=1152.5s
  ✔ nSta=24  ratio=100%  10/10 runs OK  elapsed=1095.9s
  ✔ nSta=26  ratio=0%  10/10 runs OK  elapsed=961.3s
  ✔ nSta=26  ratio=20%  10/10 runs OK  elapsed=1283.6s
  ✔ nSta=26  ratio=40%  10/10 runs OK  elapsed=1129.4s
  ✔ nSta=26  ratio=60%  10/10 runs OK  elapsed=1157.9s
  ✔ nSta=26  ratio=80%  10/10 runs OK  elapsed=1178.2s
  ✔ nSta=26  ratio=100%  10/10 runs OK  elapsed=1029.9s
  ✔ nSta=28  ratio=0%  10/10 runs OK  elapsed=1282.5s
  ✔ nSta=28  ratio=20%  10/10 runs OK  elapsed=1125.4s
  ✔ nSta=28  ratio=40%  10/10 runs OK  elapsed=1218.3s
  ✔ nSta=28  ratio=60%  10/10 runs OK  elapsed=1284.7s
  ✔ nSta=28  ratio=80%  10/10 runs OK  elapsed=1116.6s
  ✔ nSta=28  ratio=100%  10/10 runs OK  elapsed=1209.2s
  ✔ nSta=30  ratio=0%  10/10 runs OK  elapsed=1396.1s
  ✔ nSta=30  ratio=20%  10/10 runs OK  elapsed=1440.5s
  ✔ nSta=30  ratio=40%  10/10 runs OK  elapsed=1076.6s
  ✔ nSta=30  ratio=60%  10/10 runs OK  elapsed=1236.7s
  ✔ nSta=30  ratio=80%  10/10 runs OK  elapsed=1497.6s
  ✔ nSta=30  ratio=100%  10/10 runs OK  elapsed=1090.8s
  ✔ nSta=32  ratio=0%  10/10 runs OK  elapsed=1566.9s
  ✔ nSta=32  ratio=20%  10/10 runs OK  elapsed=1216.6s
  ✔ nSta=32  ratio=40%  10/10 runs OK  elapsed=1416.9s
  ✔ nSta=32  ratio=60%  10/10 runs OK  elapsed=1344.4s
  ✔ nSta=32  ratio=80%  10/10 runs OK  elapsed=1395.3s
  ✔ nSta=32  ratio=100%  10/10 runs OK  elapsed=1464.7s
  ✔ nSta=34  ratio=0%  10/10 runs OK  elapsed=1362.2s
  ✔ nSta=34  ratio=20%  10/10 runs OK  elapsed=1610.6s
  ✔ nSta=34  ratio=40%  10/10 runs OK  elapsed=1511.0s
  ✔ nSta=34  ratio=60%  10/10 runs OK  elapsed=1353.5s
  ✔ nSta=34  ratio=80%  10/10 runs OK  elapsed=1350.1s
  ✔ nSta=34  ratio=100%  10/10 runs OK  elapsed=1608.5s
  ✔ nSta=36  ratio=0%  10/10 runs OK  elapsed=1347.6s
  ✔ nSta=36  ratio=20%  10/10 runs OK  elapsed=1859.8s
  ✔ nSta=36  ratio=40%  10/10 runs OK  elapsed=1298.3s
  ✔ nSta=36  ratio=60%  10/10 runs OK  elapsed=1675.0s
  ✔ nSta=36  ratio=80%  10/10 runs OK  elapsed=1593.4s
  ✔ nSta=36  ratio=100%  10/10 runs OK  elapsed=1339.3s
  ✔ nSta=38  ratio=0%  10/10 runs OK  elapsed=1731.9s
  ✔ nSta=38  ratio=20%  10/10 runs OK  elapsed=1577.0s
  ✔ nSta=38  ratio=40%  10/10 runs OK  elapsed=1733.1s
  ✔ nSta=38  ratio=60%  10/10 runs OK  elapsed=1567.9s
  ✔ nSta=38  ratio=80%  10/10 runs OK  elapsed=1694.5s
  ✔ nSta=38  ratio=100%  10/10 runs OK  elapsed=1445.8s
  ✔ nSta=40  ratio=0%  10/10 runs OK  elapsed=1734.2s
  ✔ nSta=40  ratio=20%  10/10 runs OK  elapsed=1712.8s
  ✔ nSta=40  ratio=40%  10/10 runs OK  elapsed=1885.0s
  ✔ nSta=40  ratio=60%  10/10 runs OK  elapsed=1432.4s
  ✔ nSta=40  ratio=80%  10/10 runs OK  elapsed=1937.6s
  ✔ nSta=40  ratio=100%  10/10 runs OK  elapsed=1822.5s
  ✔ nSta=42  ratio=0%  10/10 runs OK  elapsed=1490.4s
